id,bio
ravi_01,B.Tech CSE @ IIT Dhanbad | Learning DSA and ML | Open to work
anita.fit,Gym | Personal Trainer | Calisthenics | DM for coaching
khalsa_singh,Waheguru ji ka Khalsa | Entrepreneur | Punjab | Startup founder
devraj.codes,Software engineer | Backend | DevOps | AWS | Docker | Open source
rahul.student,3rd year college | GATE 2026 aspirant | Data structures and algorithms
viral.reels,Content creator | Reels daily | YouTuber | Editor
sanya_biz,Founder @ D2C brand | Ecommerce | Growth marketer
om_bhakt,Shri Ram | Har Har Mahadev | Fitness and yoga
unknown_user,Love travel and food | Exploring the world
priya_tech,Full stack developer | React | Node.js | TypeScript | Building products
arjun_ml,Data scientist | Machine learning | NLP | Deep learning | Python
neha_yoga,Yoga instructor | Wellness coach | Meditation | Healthy living
rohit_biz,CEO & Founder | Fintech startup | Building the future of payments
meena_student,MBA at IIM | Marketing | Strategy | Campus ambassador
karthik_sre,SRE at Flipkart | Kubernetes | Terraform | Observability
zoya_creator,Instagram reels | Fashion content | 500K followers | Brand collabs
varun_fit,Powerlifting | Gym rat | Deadlift 200kg | Coach
fatima_dev,Frontend engineer | Vue.js | CSS art | Open source contributor
amit_seeker,Open to work | 2 years Python experience | Actively looking for roles
divya_bhakti,Krishna consciousness | ISKCON | Bhakti yoga | Spiritual journey
suresh_cloud,AWS certified | Cloud architect | Infrastructure as code | Terraform
pooja_run,Marathon runner | Trail running | Completed 5 ultra marathons
nikhil_start,Co-founder CTO | Building EdTech | Previously at Amazon
swati_pod,Podcaster | Weekly conversations | Interview-style content
raju_misc,Dog lover | Coffee addict | Sunset chaser | Living life
lakshmi_gate,GATE 2026 preparation | Mechanical engineering | IIT aspirant
harsh_devops,DevOps engineer | CI/CD | Jenkins | GitHub Actions | Docker
isha_dance,Dancer | Choreographer | Contemporary | YouTube dance tutorials
manish_bcom,BCom student | Chartered accountant aspirant | Finance nerd
arun_cyber,Cybersecurity analyst | Penetration testing | Bug bounty hunter
tanya_market,Digital marketer | SEO specialist | Growth hacking | Agency owner
vikram_phd,PhD scholar | IISc Bangalore | Computational biology | Research
nisha_blog,Blogger | Writer | Storytelling | Digital nomad lifestyle
ashok_ram,Jai Shri Ram | Bharat | Sanatan Dharma | Hindu devotion
deepa_ai,ML engineer | TensorFlow | Model deployment | MLOps | Data pipelines
sanjay_gym,Certified personal trainer | Bodybuilding | Fitness transformation
kavita_intern,Looking for internship | Computer science student | Python | DSA
ritesh_ecom,Ecommerce entrepreneur | Dropshipping | Shopify | D2C brands
ananya_music,Music lover | Indie artist | Guitar | Spotify | SoundCloud
mohammad_prayer,Bismillah | Islam | Prayer five times | Quran | Peace
priti_work,Actively seeking frontend developer roles | React | Portfolio ready
ganesh_data,Data engineer | Apache Spark | Airflow | ETL pipelines | Analytics
lata_fitness,CrossFit athlete | Functional fitness | WOD daily | Coach
rajesh_start,Angel investor | Startup mentor | Previously founded 2 companies
simran_sikh,Waheguru | Gurbani | Kirtan lover | Sikh | Gurudwara seva
aakash_code,Competitive programmer | Codeforces | LeetCode | DSA lover
bhavna_other,Cat mom | Plant parent | Cozy vibes | Rainy days
dinesh_jesus,Jesus is Lord | Church every Sunday | Bible study | Christian faith
elina_reels,Trending reels creator | Viral content | Social media growth strategist
farhan_job,Fresher | Resume ready | Interview preparation | Placement season
geeta_yoga,Ashtanga yoga teacher | Mindfulness | Ayurveda | Spiritual wellness
harish_aws,Cloud solutions architect | AWS | GCP | Multi-cloud strategy
indira_btech,BTech ECE final year | VLSI design | Embedded systems | NIT student
jagdish_shop,Small business owner | Handicrafts | Handmade products | Local shop
kiran_edit,Video editor | Premiere Pro | After Effects | Content creator
lalita_bio,Bioinformatics researcher | Genomics | Python | PhD candidate
mohan_trade,Forex trader | Stock market | Investing | Financial freedom
nandini_fit,Weight loss journey | Lost 30kg | Fitness motivation | Healthy recipes
omkar_shiv,Om Namah Shivaya | Mahadev bhakt | Spiritual journey | Temple visits
pallavi_write,Technical writer | Documentation | Developer experience | Open source
qasim_dev,Backend developer | Python | Django | PostgreSQL | API design
radha_vlog,Daily vlogger | Lifestyle content | Travel | Explore with me
sachin_sport,Cricket coach | Sports academy | Under-19 training | Athlete
tara_med,Medical student | MBBS | Aspiring doctor | Healthcare
urmila_art,Digital artist | Illustration | Procreate | Art commissions open
vivek_found,Founder | B2B SaaS | Product-led growth | Scaling to 1M ARR
wahida_teach,School teacher | Education | Kids love learning | Primary school
xavier_game,Game developer | Unity | Unreal Engine | Indie games
yashika_mba,MBA student | Finance | IIM Ahmedabad | Case competitions
zara_style,Fashion influencer | Styling tips | OOTD | Instagram content creator
